Capacitancia,Ecapacitancia
[uF],[uF]
 155.8056,   1.5581
 157.5804,   1.5758
 157.8641,   1.5786
 161.9002,   1.6190
 156.1506,   1.5615
 151.4249,   1.5142
 160.1708,   1.6017
 158.4170,   1.5842
 154.8026,   1.5480
 151.8326,   1.5183
 162.8991,   1.6290
 161.6125,   1.6161
 156.8036,   1.5680
 159.4015,   1.5940
 155.9694,   1.5597
